id,title,manifest,canvas,license
MS-FC-00246-00005,Yi yu tu zhi (FC.246.5),https://cudl.lib.cam.ac.uk/iiif/MS-FC-00246-00005,207,CC BY-NC 4.0 (PD work)
MS-FH-00020-00071-00072,Yong-le da dian (FH.20.71-72),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00071-00072,192,CC BY-NC 4.0 (PD work)
PR-FC-00171-00013-00001,Untitled manuscript journal (FC.171.13(1)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00013-00001,166,CC BY-NC 4.0 (PD work)
PR-FC-00171-00007-00004,天父詩 (FC.171.7(4)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00007-00004,142,CC BY-NC 4.0 (PD work)
MS-FH-00020-00043,天元玉曆祥異賦 己[MS] (FH.20.43),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00043,132,CC BY-NC 4.0 (PD work)
MS-FH-00020-00038,天元玉曆祥異賦 甲[MS] (FH.20.38),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00038,126,CC BY-NC 4.0 (PD work)
PR-FC-00171-00012-00004,天情道理書 (FC.171.12(4)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00012-00004,120,CC BY-NC 4.0 (PD work)
PR-FC-00171-00013-00002,太平天王大道君王全(MS) (FC.171.13(2)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00013-00002,116,CC BY-NC 4.0 (PD work)
MS-FH-00020-00044,天元玉曆祥異賦 庚[MS] (FH.20.44),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00044,116,CC BY-NC 4.0 (PD work)
PR-FB-00434-00031,問答篇 (FB.434.31),https://cudl.lib.cam.ac.uk/iiif/PR-FB-00434-00031,112,CC BY-NC 4.0 (PD work)
PR-FC-00171-00008-00003,欽定英傑歸真 (FC.171.8(3)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00008-00003,104,CC BY-NC 4.0 (PD work)
MS-FH-00020-00045,天元玉曆祥異賦 辛[MS] (FH.20.45),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00045,104,CC BY-NC 4.0 (PD work)
PR-FC-00171-00010-00006,太平天国辛酉拾壹年新曆 (FC.171.10(6)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00006,102,CC BY-NC 4.0 (PD work)
MS-FH-00020-00040,天元玉曆祥異賦 丙[MS] (FH.20.40),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00040,102,CC BY-NC 4.0 (PD work)
MS-FH-00020-00042,天元玉曆祥異賦 戊[MS] (FH.20.42),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00042,102,CC BY-NC 4.0 (PD work)
MS-FH-00020-00041,天元玉曆祥異賦 丁[MS] (FH.20.41),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00041,94,CC BY-NC 4.0 (PD work)
MS-FH-00010-00047,Zheng tang du shu ji (FH.10.47-83),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00010-00047,91,CC BY-NC 4.0 (PD work)
MS-FH-00020-00046,天元玉曆祥異賦 壬[MS] (FH.20.46),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00046,90,CC BY-NC 4.0 (PD work)
PR-FC-00171-00010-00008,太平軍目 (FC.171.10(8)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00010-00008,84,CC BY-NC 4.0 (PD work)
MS-FH-00020-00039,天元玉曆祥異賦 乙[MS] (FH.20.39),https://cudl.lib.cam.ac.uk/iiif/MS-FH-00020-00039,82,CC BY-NC 4.0 (PD work)
PR-FC-00171-00013-00004,太平軍目(MS) (FC.171.13(4)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00013-00004,80,CC BY-NC 4.0 (PD work)
PR-FC-00171-00008-00002,欽定軍次實錄 (FC.171.8(2)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00008-00002,76,CC BY-NC 4.0 (PD work)
MS-FC-00171-00007-00005,Tai ping tian ri (FC.171.7(5)),https://cudl.lib.cam.ac.uk/iiif/MS-FC-00171-00007-00005,74,CC BY-NC 4.0 (PD work)
PR-FC-00171-00007-00005,太平天日 (FC.171.7(5)),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00171-00007-00005,74,CC BY-NC 4.0 (PD work)
