title,manifest,来源清单
半農先生春秋說 : 十五卷 / 吳泰來惠棟校. and Bannong xian sheng Chun qiu shuo : shi wu juan / Wu Tailai Hui Dong jiao.,https://figgy.princeton.edu/concern/multi_volume_works/7aac54e9-c87c-4d90-8c9e-f2deaaefbcfe/manifest,清单_普林斯顿古籍1911前.csv
禮記約言 : 十卷 / 王應井著 ; 李安世訂． and Li ji yue yan : shi juan / Wang Yingjing zhu ; Li Anshi ding.,https://figgy.princeton.edu/concern/multi_volume_works/3d24f3d8-a45c-4519-a173-073608df1cb3/manifest,清单_普林斯顿古籍1911前.csv
"張侗初先生評選古文綱目 : 八卷 / 張鼐評選 ; 陶嘉祉, 陶原烺參訂 ; 李元珍較閱. and Zhang Dongchu xian sheng ping xuan gu wen gang mu : ba juan / Zhang Nai ping xuan ; Tao Jiazhi, Tao Yuanlang can ding ; Li Yuanzhen jiao yue.",https://figgy.princeton.edu/concern/multi_volume_works/5927565f-62f7-4b03-9b13-2182a22915f1/manifest,清单_普林斯顿古籍1911前.csv
周易原始 : 六卷 / 范咸學. and Zhou yi yuan shi : liu juan / Fan Xian xue.,https://figgy.princeton.edu/concern/multi_volume_works/d3ac5e84-200d-468e-ba9d-10ae9f5e80fb/manifest,清单_普林斯顿古籍1911前.csv
書經批 : 六卷 / 董懋極批. and Shu jing pi : liu juan / Dong Maoji pi.,https://figgy.princeton.edu/concern/multi_volume_works/aa0ccec4-7c22-4be8-8899-1c2e68c4df63/manifest,清单_普林斯顿古籍1911前.csv
"五經總類 : 四十卷, 卷首 / 張雲鸞編輯. and Wu jing zong lei : si shi juan, juan shou / Zhang Yunluan bian ji.",https://figgy.princeton.edu/concern/multi_volume_works/48ab2428-d0cb-44fe-bc88-481bda54d63c/manifest,清单_普林斯顿古籍1911前.csv
"春秋指掌 : 三十卷, 卷首二卷, 附二卷 / 儲欣, 蔣景祁撰輯. and Chun qiu zhi zhang : san shi juan, juan shou er juan, fu er juan / Chu Xin, Jiang Jingqi zhuan ji.",https://figgy.princeton.edu/concern/multi_volume_works/3d215723-6997-4948-8a38-707781e7995d/manifest,清单_普林斯顿古籍1911前.csv
"四書名物考 : 二十四卷 / 陳禹謨輯; 錢受益, 牛斗星補. and Si shu ming wu kao : [er shi si juan] / Chen Yumo ji; Qian Shouyi, Niu Douxing bu.",https://figgy.princeton.edu/concern/multi_volume_works/94ee64e1-ac0b-4f01-8a5a-9363871806ed/manifest,清单_普林斯顿古籍1911前.csv
禮記摘註 : 五卷 / 李上林編著 ; 李伯龍校. and Li ji zhai zhu : wu juan / Li Shanglin bian zhu ; Li Bolong jiao.,https://figgy.princeton.edu/concern/multi_volume_works/6f4f4af6-620b-42ce-bd38-3522bc03eca1/manifest,清单_普林斯顿古籍1911前.csv
四書徴古 : 六卷 / 王予黼輯. and Si shu zheng gu : liu juan / Wang Yufu ji.,https://figgy.princeton.edu/concern/multi_volume_works/6048f4b2-3432-45c6-9db9-af4aa0947336/manifest,清单_普林斯顿古籍1911前.csv
