id,title,manifest,cat,bu,jp_cross,卷数,subject,fmt
2014514586,Jing ji lei zuan : ba juan,https://www.loc.gov/item/2014514586/manifest.json,guji,子部,0,9,zi bu|lei shu lei,book
2014514597,Nanhua jing jue : ba juan,https://www.loc.gov/item/2014514597/manifest.json,guji,子部,0,9,zhuangzi|zi bu|dao jia lei|nanhua jing,book
2014514598,Shuo ling chao : ba juan,https://www.loc.gov/item/2014514598/manifest.json,guji,,0,9,cong bu|hui bian lei,book
2014514600,Lin Lan Xiang : ba juan liu shi si hui,https://www.loc.gov/item/2014514600/manifest.json,guji,子部,0,9,zi bu|xiao shuo lei,book
2014514616,Nan zhai ji : liu juan. Nan zhai ci : er juan,https://www.loc.gov/item/2014514616/manifest.json,guji,集部,0,9,ji bu|bie ji lei,book
2014514622,Xin ke yi zha san qi : ba juan,https://www.loc.gov/item/2014514622/manifest.json,guji,,0,9,,book
2014514644,Gu huan lu : ba juan,https://www.loc.gov/item/2014514644/manifest.json,guji,史部,0,9,zhuan ji lei|shi bu,book
unk85040106,"Xi yuan lu xiang yi : si juan, juan shou yi juan : Zhi yi, Zhi yi bu fu : Zhi yi, Zhi yi bu fu",https://www.loc.gov/item/unk85040106/manifest.json,guji,,0,8,"coroners|song, ci|china|forensic pathology|xi yuan lu",book
2007556252,Tang shi xuan : qi juan,https://www.loc.gov/item/2007556252/manifest.json,guji,集部,0,8,"tang dynasty, 618-907|ji bu|bie ji lei|qing|chinese poetry",book
2011457000,Wen miao xiang shi shi : ba juan,https://www.loc.gov/item/2011457000/manifest.json,guji,集部,0,8,qing zhi shu|ji bu|bie ji lei,book
2011457031,Jiu chao Su jun jiu yi xiao zi shun sun yi fu jie fu ce,https://www.loc.gov/item/2011457031/manifest.json,guji,,0,8,,book
2011457089,Yinna Shan zhi : liu juan,https://www.loc.gov/item/2011457089/manifest.json,guji,史部,0,8,shan yue|di li lei|shan shui zhi shu|mei xian|guangdong sheng|shi bu,book
2011457129,"Qi sheng : liu juan, fu kao zheng liu juan, shi yin yi juan",https://www.loc.gov/item/2011457129/manifest.json,guji,史部,0,8,di li lei|shi bu|山東省 (china)|fang zhi|history|shandong sheng (china),book
2012402056,Han jian : qi juan,https://www.loc.gov/item/2012402056/manifest.json,guji,经部,0,8,xiao xue lei|jing bu,book
2012402069,Du shu lu cui yu : si juan,https://www.loc.gov/item/2012402069/manifest.json,guji,子部,0,8,zi bu|ru jia lei,book
2012402092,Taiyang Zhou Xiao Hou miao zhi : shang ji liu juan xia ji yi juan,https://www.loc.gov/item/2012402092/manifest.json,guji,,0,8,,book
2012402132,Zhang Xianghe zou gao : bu fen juan,https://www.loc.gov/item/2012402132/manifest.json,guji,,0,8,,manuscript/mixed material
2012402213,Wan shi jia chao ji shi liang fang : qi juan,https://www.loc.gov/item/2012402213/manifest.json,guji,,0,8,,book
2012402237,Heng Shan ji : qi juan,https://www.loc.gov/item/2012402237/manifest.json,guji,集部,0,8,bie ji lei|ji bu,book
2012402238,Chao lin ji : qi juan,https://www.loc.gov/item/2012402238/manifest.json,guji,集部,0,8,bie ji lei|ji bu,book
2012402248,Zhu De shi guan dang an chao : bu fen juan,https://www.loc.gov/item/2012402248/manifest.json,guji,,0,8,"liu, xihong|lü, haihuan|li, fengbao|hong, jun|xu, zhuyun",manuscript/mixed material
2012402337,Shi zheng lu,https://www.loc.gov/item/2012402337/manifest.json,guji,,0,8,,book
2012402347,Yu chu zhi : qi juan,https://www.loc.gov/item/2012402347/manifest.json,guji,,0,8,,book
2012402443,Lishen zhi wen ji : liu juan,https://www.loc.gov/item/2012402443/manifest.json,guji,,0,8,,manuscript/mixed material
2012402451,Ming ru yan xing lu,https://www.loc.gov/item/2012402451/manifest.json,guji,,0,8,,manuscript/mixed material
2012402452,Qing shi lie zhuan gao : ba juan,https://www.loc.gov/item/2012402452/manifest.json,guji,,0,8,,manuscript/mixed material
2012402498,Bei hai jing xue qi lu : ba juan,https://www.loc.gov/item/2012402498/manifest.json,guji,,0,8,,book
2012402510,Yi lin xun dao yuan tou : qi juan,https://www.loc.gov/item/2012402510/manifest.json,guji,,0,8,,book
2012402536,"Jing you dun jia fu ying jing : shang bu san juan, xia bu san juan",https://www.loc.gov/item/2012402536/manifest.json,guji,,0,8,,manuscript/mixed material
2012402538,Tian yuan yu li xiang yi fu : qi juan,https://www.loc.gov/item/2012402538/manifest.json,guji,,0,8,,book
2012402544,Tang shi yan yi pin : si zhong zi juan,https://www.loc.gov/item/2012402544/manifest.json,guji,,0,8,,book
2012402547,Yu xuan Tang Song wen chun : can bu fen juan,https://www.loc.gov/item/2012402547/manifest.json,guji,集部,0,8,ji bu|zong ji lei,book
2012402548,"Xin ke Qian tai shi ping zhu Li Yulin Tang shi xuan yu : qi juan, juan shou yi juan",https://www.loc.gov/item/2012402548/manifest.json,guji,集部,0,8,qing|bie ji lei|ji bu,book
2012402633,Xin ke Kuiyang Huang xian sheng Nan hua wen sui : qi juan,https://www.loc.gov/item/2012402633/manifest.json,guji,,0,8,zhuangzi|nanhua jing,book
2012402743,Qi ke : qi juan,https://www.loc.gov/item/2012402743/manifest.json,guji,子部,0,8,zi bu|za jia lei,book
2012402768,Qu zi zhang ju : qi juan,https://www.loc.gov/item/2012402768/manifest.json,guji,集部,0,8,"chu ci lei|qu, yuan|ji bu|approximately 343 b.c.-approximately 277 b.c",book
2012402791,Qing Fengjing zhi : shi juan,https://www.loc.gov/item/2012402791/manifest.json,guji,史部,0,8,"金山區 (shanghai, china)|shi bu|di li lei|jinshan qu (shanghai, china)",manuscript/mixed material
2014514124,"Xu cha jing : san juan, fu yuan ben Cha jing san juan, fu lu yi juan",https://www.loc.gov/item/2014514124/manifest.json,guji,,0,8,,book
2014514260,Wumen Yuan shi jia pu : ba juan,https://www.loc.gov/item/2014514260/manifest.json,guji,,0,8,,book
2014514264,"Tang shi xuan : qi juan, fu lu yi juan",https://www.loc.gov/item/2014514264/manifest.json,guji,集部,0,8,zong ji lei|ji bu,book
2014514285,Mayao Shen shi zu pu : qi juan,https://www.loc.gov/item/2014514285/manifest.json,guji,,0,8,genealogy|shen family|china,book
2014514293,"Yuan Zhonglang xian sheng pi ping Tang Bohu hui ji : si juan, ji shi yi juan, chuan zan yi juan, wai ji yi juan",https://www.loc.gov/item/2014514293/manifest.json,guji,集部,0,8,ji bu|bie ji lei,book
2014514364,Jing xi lin xia ou tan : ba juan,https://www.loc.gov/item/2014514364/manifest.json,guji,,0,8,,manuscript/mixed material
2014514544,Tang shi xuan : qi juan,https://www.loc.gov/item/2014514544/manifest.json,guji,,0,8,,book
2014514421,Xin ke Mei gong Chen xian sheng ping zhu Laozi juan : yi juan. Juan Mei gong Chen xian sheng ping xuan Lao Zhuang he juan : wu juan,https://www.loc.gov/item/2014514421/manifest.json,guji,,0,7,laozi|zhuangzi,book
2001530455,Chong xiu jiang nan Huagai shan zhi : wu juan,https://www.loc.gov/item/2001530455/manifest.json,guji,史部,0,7,di li lei|shan chuan zhi|huagai mountains (china)|history|shi bu,book
2001708577,San fu huang tu : liu juan,https://www.loc.gov/item/2001708577/manifest.json,guji,史部,0,7,"di li lei|zhuan zhi|antiquities|shi bu|xi'an (shaanxi sheng, china)|西安 (shaanxi sheng, china)",book
2002534208,En Xian zhi : liu juan,https://www.loc.gov/item/2002534208/manifest.json,guji,史部,0,7,"平原縣 (shandong sheng, china)|di li lei|pingyuan xian (shandong sheng, china)|history|shi bu|fang zhi",book
2012402113,Ti yun zhi yin pian : qi juan,https://www.loc.gov/item/2012402113/manifest.json,guji,,0,7,phonology|chinese language,book
74898907,Shu jing : liu juan,https://www.loc.gov/item/74898907/manifest.json,guji,,0,7,,book
74898682,Da xue yan yi bu zuan yao : liu juan,https://www.loc.gov/item/74898682/manifest.json,guji,,0,7,da xue,book
2006547725,Nong pu liu shu : liu juan,https://www.loc.gov/item/2006547725/manifest.json,guji,子部,0,7,zi bu|nong jia lei|early works to 1800|agriculture|china,book
2011457005,Shi qin shi gao,https://www.loc.gov/item/2011457005/manifest.json,guji,集部,0,7,dlc|ji bu|bie ji lei,book
