id,title,manifest,db,tw_title
arc_books-NIJL_100452916,全體新論,https://www.dh-jac.net/db1/books/NIJL-100452916/portal/manifest.json,arc_books,全體新論
arc_books-NIJL_100382812,全体新論,https://www.dh-jac.net/db1/books/NIJL-100382812/portal/manifest.json,arc_books,全體新論
arc_books-ya09_00289,全体新論,https://www.dh-jac.net/db1/books/ya09_00289/portal/manifest.json,arc_books,全體新論
arc_books-NIJL_100127434,全体新論訳解,https://www.dh-jac.net/db1/books/NIJL-100127434/portal/manifest.json,arc_books,全體新論
arc_books-NIJL_100146922,全体新論訳解,https://www.dh-jac.net/db1/books/NIJL-100146922/portal/manifest.json,arc_books,全體新論
arc_books-NIJL_100452917,全體新論圖,https://www.dh-jac.net/db1/books/NIJL-100452917/portal/manifest.json,arc_books,全體新論
arc_books-FSC_GR_780_096_,全体新論,https://www.dh-jac.net/db1/books/FSC-GR-780.096./portal/manifest.json,arc_books,全體新論
kyudai-R100000092_I000030757_00,(清本翻刻)全體新論 乾,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/1446001.json,kyudai,全體新論
kyudai-R100000092_I000030758_00,(清本翻刻)全體新論 坤,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/1446002.json,kyudai,全體新論
ryukoku-R100000135_I000001167_00,全体新論,https://da.library.ryukoku.ac.jp/iiif/990010/1/manifest.json,ryukoku,全體新論
ryukoku-R100000135_I000003988_00,全体新論,https://da.library.ryukoku.ac.jp/iiif/200829/1/manifest.json,ryukoku,全體新論
doshisha-R100000123_IMD00001763,全體新論 2巻,https://dgcl.doshisha.ac.jp/images/manifest/1/50000/MD00001763.json,doshisha,全體新論
ukobe_s-R100000144_I000015596_00,全體新論 2巻圖1巻,https://da.lib.kobe-u.ac.jp/files/manifest/1/40000/0100404245.json,ukobe_s,全體新論
arc_books-NIJL_200031135,出証配剤,https://www.dh-jac.net/db1/books/NIJL-200031135/portal/manifest.json,arc_books,出證配劑
ryukoku-R100000135_I000002528_00,出証配剤,https://da.library.ryukoku.ac.jp/iiif/160245/1/manifest.json,ryukoku,出證配劑
ryukoku-R100000135_I000002527_00,出証配剤,https://da.library.ryukoku.ac.jp/iiif/160244/1/manifest.json,ryukoku,出證配劑
arc_books-NIJL_100273172,出證配剤／醫學天正記,https://www.dh-jac.net/db1/books/NIJL-100273172/portal/manifest.json,arc_books,出證配劑
arc_books-NIJL_100040523,古今切紙,https://www.dh-jac.net/db1/books/NIJL-100040523/portal/manifest.json,arc_books,切紙
arc_books-NIJL_ya05_0132,垂加流切紙,https://www.dh-jac.net/db1/books/NIJL-ya05-0132/portal/manifest.json,arc_books,切紙
arc_books-NDL_2533698,遠州流挿花切紙,https://www.dl.ndl.go.jp/api/iiif/2533698/manifest.json,arc_books,切紙
arc_books-NIJL_100272458,百通切紙,https://www.dh-jac.net/db1/books/NIJL-100272458/portal/manifest.json,arc_books,切紙
arc_books-NIJL_200000485,垂加流切紙,https://www.dh-jac.net/db1/books/NIJL-200000485/portal/manifest.json,arc_books,切紙
arc_books-NDL_2539015,古今和歌集切紙伝授,https://www.dl.ndl.go.jp/api/iiif/2539015/manifest.json,arc_books,切紙
arc_books-NIJL_200005669,和歌三部抄切紙,https://www.dh-jac.net/db1/books/NIJL-200005669/portal/manifest.json,arc_books,切紙
arc_books-NDL_2540261,磨光韻鏡翻切口伝切紙,https://www.dl.ndl.go.jp/api/iiif/2540261/manifest.json,arc_books,切紙
arc_books-NIJL_100339316,日本紀切紙口決,https://www.dh-jac.net/db1/books/NIJL-100339316/portal/manifest.json,arc_books,切紙
arc_books-NIJL_200035332,古今和歌集切紙伝授,https://www.dh-jac.net/db1/books/NIJL-200035332/portal/manifest.json,arc_books,切紙
arc_books-NIJL_200007616,三宝院流伝授切紙,https://www.dh-jac.net/db1/books/NIJL-200007616/portal/manifest.json,arc_books,切紙
arc_books-NIJL_200024639,古今和歌集伝授切紙,https://www.dh-jac.net/db1/books/NIJL-200024639/portal/manifest.json,arc_books,切紙
arc_books-NIJL_200003756,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-200003756/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100339698,切紙,https://www.dh-jac.net/db1/books/NIJL-100339698/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100257460,切紙,https://www.dh-jac.net/db1/books/NIJL-100257460/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100010533,古今切紙次第二十三箇条,https://www.dh-jac.net/db1/books/NIJL-100010533/portal/manifest.json,arc_books,切紙
arc_books-NIJL_200024707,和歌三神・三十六歌仙・六歌仙・三夕和歌・六所玉川・古今切紙・伊勢物語切紙・伊勢物語之髄脳,https://www.dh-jac.net/db1/books/NIJL-200024707/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100270247,韻鏡切紙,https://www.dh-jac.net/db1/books/NIJL-100270247/portal/manifest.json,arc_books,切紙
arc_books-Ebi1511,「切紙人物帖」,https://www.dh-jac.net/db1/books/Ebi1511/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100168735,古今切紙・伊勢物語切紙,https://www.dh-jac.net/db1/books/NIJL-100168735/portal/manifest.json,arc_books,切紙
arc_books-Ebi1512,切紙図案・春の巻,https://www.dh-jac.net/db1/books/Ebi1512/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100233191,切紙,https://www.dh-jac.net/db1/books/NIJL-100233191/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100146741,切紙,https://www.dh-jac.net/db1/books/NIJL-100146741/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100335616,切紙,https://www.dh-jac.net/db1/books/NIJL-100335616/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100302275,源氏物語切紙,https://www.dh-jac.net/db1/books/NIJL-100302275/portal/manifest.json,arc_books,切紙
