id,title,call_number,manifest
100352070,生生堂傷寒約言,,https://kotenseki.nijl.ac.jp/biblio/100352070/manifest
100257497,傷寒論櫟山講義,,https://kotenseki.nijl.ac.jp/biblio/100257497/manifest
100257471,傷寒論雑病集解,,https://kotenseki.nijl.ac.jp/biblio/100257471/manifest
100210302,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100210302/manifest
100348256,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100348256/manifest
100310997,校正傷寒卒病論集,,https://kotenseki.nijl.ac.jp/biblio/100310997/manifest
100311009,傷寒論集解／（仲景全書）,,https://kotenseki.nijl.ac.jp/biblio/100311009/manifest
100210293,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100210293/manifest
100382167,傷寒論作者考／傷寒名数解續篇,,https://kotenseki.nijl.ac.jp/biblio/100382167/manifest
100246760,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100246760/manifest
100382191,傷寒論辨正餘璧／傷寒名數解通義,,https://kotenseki.nijl.ac.jp/biblio/100382191/manifest
100310979,校正傷寒卒病論集,,https://kotenseki.nijl.ac.jp/biblio/100310979/manifest
100398287,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100398287/manifest
100347995,傷寒方,,https://kotenseki.nijl.ac.jp/biblio/100347995/manifest
100231302,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100231302/manifest
100335776,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100335776/manifest
100079275,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100079275/manifest
100079089,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100079089/manifest
100335777,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100335777/manifest
100452155,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452155/manifest
100452161,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452161/manifest
100452158,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452158/manifest
100452134,傷寒考,,https://kotenseki.nijl.ac.jp/biblio/100452134/manifest
100452152,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452152/manifest
100452154,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452154/manifest
100452153,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452153/manifest
100371158,傷寒直格,,https://kotenseki.nijl.ac.jp/biblio/100371158/manifest
100147118,傷寒六書,,https://kotenseki.nijl.ac.jp/biblio/100147118/manifest
100079280,傷寒論識,,https://kotenseki.nijl.ac.jp/biblio/100079280/manifest
100252246,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100252246/manifest
100310992,傷寒金匱／秤量考／分量筭考,,https://kotenseki.nijl.ac.jp/biblio/100310992/manifest
100452159,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452159/manifest
100310990,傷寒論金匱要略薬性辨,,https://kotenseki.nijl.ac.jp/biblio/100310990/manifest
100252248,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100252248/manifest
100382323,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100382323/manifest
100398282,傷寒辨術,,https://kotenseki.nijl.ac.jp/biblio/100398282/manifest
100263414,傷寒字薮,,https://kotenseki.nijl.ac.jp/biblio/100263414/manifest
100347924,傷寒論読,,https://kotenseki.nijl.ac.jp/biblio/100347924/manifest
100347983,傷寒外伝,,https://kotenseki.nijl.ac.jp/biblio/100347983/manifest
100398283,傷寒辨術,,https://kotenseki.nijl.ac.jp/biblio/100398283/manifest
100398284,傷寒薬議,,https://kotenseki.nijl.ac.jp/biblio/100398284/manifest
100382145,傷寒考,,https://kotenseki.nijl.ac.jp/biblio/100382145/manifest
100382154,傷寒方,,https://kotenseki.nijl.ac.jp/biblio/100382154/manifest
100146459,傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100146459/manifest
100210276,傷寒六書,,https://kotenseki.nijl.ac.jp/biblio/100210276/manifest
100210275,傷寒六書,,https://kotenseki.nijl.ac.jp/biblio/100210275/manifest
100318650,傷寒金匱分量考／（分量算考）,,https://kotenseki.nijl.ac.jp/biblio/100318650/manifest
100241889,傷寒訳通,,https://kotenseki.nijl.ac.jp/biblio/100241889/manifest
100452144,傷寒辨証,,https://kotenseki.nijl.ac.jp/biblio/100452144/manifest
100382146,傷寒考,,https://kotenseki.nijl.ac.jp/biblio/100382146/manifest
100452142,傷寒発微,,https://kotenseki.nijl.ac.jp/biblio/100452142/manifest
100452162,読傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452162/manifest
100452173,傷寒論／緒言,,https://kotenseki.nijl.ac.jp/biblio/100452173/manifest
100452133,傷寒解髄,,https://kotenseki.nijl.ac.jp/biblio/100452133/manifest
100347943,傷寒論類方,,https://kotenseki.nijl.ac.jp/biblio/100347943/manifest
100347979,傷寒論札記,,https://kotenseki.nijl.ac.jp/biblio/100347979/manifest
100382155,傷寒方,,https://kotenseki.nijl.ac.jp/biblio/100382155/manifest
100452143,傷寒辨術,,https://kotenseki.nijl.ac.jp/biblio/100452143/manifest
100347938,傷寒論正要,,https://kotenseki.nijl.ac.jp/biblio/100347938/manifest
100241895,傷寒六書,,https://kotenseki.nijl.ac.jp/biblio/100241895/manifest
100241842,傷寒附翼,,https://kotenseki.nijl.ac.jp/biblio/100241842/manifest
100452180,傷寒発微,,https://kotenseki.nijl.ac.jp/biblio/100452180/manifest
100452170,傷寒論識,,https://kotenseki.nijl.ac.jp/biblio/100452170/manifest
100146750,輯光傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100146750/manifest
100095695,傷寒論輯義,,https://kotenseki.nijl.ac.jp/biblio/100095695/manifest
100347937,傷寒論集解,,https://kotenseki.nijl.ac.jp/biblio/100347937/manifest
100347944,傷寒論類辨,,https://kotenseki.nijl.ac.jp/biblio/100347944/manifest
100382157,傷寒辨術,,https://kotenseki.nijl.ac.jp/biblio/100382157/manifest
100398288,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398288/manifest
100398291,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398291/manifest
100347985,傷寒用字例,,https://kotenseki.nijl.ac.jp/biblio/100347985/manifest
100382144,傷寒解髄,,https://kotenseki.nijl.ac.jp/biblio/100382144/manifest
100398297,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398297/manifest
100242018,傷寒論類辨,,https://kotenseki.nijl.ac.jp/biblio/100242018/manifest
100241910,輯光傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100241910/manifest
100398290,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398290/manifest
100398296,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398296/manifest
100241913,傷寒論講録,,https://kotenseki.nijl.ac.jp/biblio/100241913/manifest
100252249,傷寒方考,,https://kotenseki.nijl.ac.jp/biblio/100252249/manifest
100382148,傷寒広要,,https://kotenseki.nijl.ac.jp/biblio/100382148/manifest
100241912,傷寒論柯則,,https://kotenseki.nijl.ac.jp/biblio/100241912/manifest
100398295,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398295/manifest
100398292,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398292/manifest
100398293,傷寒論存疑,,https://kotenseki.nijl.ac.jp/biblio/100398293/manifest
100242010,傷寒論二説,,https://kotenseki.nijl.ac.jp/biblio/100242010/manifest
100335780,傷寒論述義,,https://kotenseki.nijl.ac.jp/biblio/100335780/manifest
100310988,喩嘉言先生傷寒尚論篇全書,,https://kotenseki.nijl.ac.jp/biblio/100310988/manifest
100241927,傷寒論正義,,https://kotenseki.nijl.ac.jp/biblio/100241927/manifest
100452157,輯光傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452157/manifest
100452138,傷寒精究録,,https://kotenseki.nijl.ac.jp/biblio/100452138/manifest
100452146,傷寒論辨正,,https://kotenseki.nijl.ac.jp/biblio/100452146/manifest
100452166,傷寒論講義,,https://kotenseki.nijl.ac.jp/biblio/100452166/manifest
100452175,傷寒論正義,,https://kotenseki.nijl.ac.jp/biblio/100452175/manifest
100452183,傷寒論夜話,,https://kotenseki.nijl.ac.jp/biblio/100452183/manifest
100241955,傷寒論俗解,,https://kotenseki.nijl.ac.jp/biblio/100241955/manifest
100452145,傷寒名数解,,https://kotenseki.nijl.ac.jp/biblio/100452145/manifest
100452139,傷寒総病論,,https://kotenseki.nijl.ac.jp/biblio/100452139/manifest
100452140,傷寒総病論,,https://kotenseki.nijl.ac.jp/biblio/100452140/manifest
100452163,傷寒論記聞,,https://kotenseki.nijl.ac.jp/biblio/100452163/manifest
100452169,傷寒論纂註,,https://kotenseki.nijl.ac.jp/biblio/100452169/manifest
100369271,傷寒論講録,,https://kotenseki.nijl.ac.jp/biblio/100369271/manifest
100347942,傷寒論薬名考,,https://kotenseki.nijl.ac.jp/biblio/100347942/manifest
100452171,傷寒論述義,,https://kotenseki.nijl.ac.jp/biblio/100452171/manifest
100452172,傷寒論輯義,,https://kotenseki.nijl.ac.jp/biblio/100452172/manifest
100452185,傷寒論類辨,,https://kotenseki.nijl.ac.jp/biblio/100452185/manifest
100382159,傷寒薬議,,https://kotenseki.nijl.ac.jp/biblio/100382159/manifest
100382324,傷寒論説,,https://kotenseki.nijl.ac.jp/biblio/100382324/manifest
100452156,鑒定傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100452156/manifest
100241915,傷寒論章句,,https://kotenseki.nijl.ac.jp/biblio/100241915/manifest
100241946,傷寒論正文,,https://kotenseki.nijl.ac.jp/biblio/100241946/manifest
100452165,傷寒論講義,,https://kotenseki.nijl.ac.jp/biblio/100452165/manifest
100452177,傷寒論精義,,https://kotenseki.nijl.ac.jp/biblio/100452177/manifest
100452181,傷寒論分註,,https://kotenseki.nijl.ac.jp/biblio/100452181/manifest
100452186,傷寒論口義,,https://kotenseki.nijl.ac.jp/biblio/100452186/manifest
100241898,輯光傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100241898/manifest
100335720,古文傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100335720/manifest
100335779,傷寒論解読,,https://kotenseki.nijl.ac.jp/biblio/100335779/manifest
100262444,傷寒論発明録,,https://kotenseki.nijl.ac.jp/biblio/100262444/manifest
100270406,傷寒論輯義,,https://kotenseki.nijl.ac.jp/biblio/100270406/manifest
100241919,傷寒論正義,,https://kotenseki.nijl.ac.jp/biblio/100241919/manifest
100242000,注解傷寒論,,https://kotenseki.nijl.ac.jp/biblio/100242000/manifest
100452148,傷寒薬性考,,https://kotenseki.nijl.ac.jp/biblio/100452148/manifest
100452164,傷寒論口決,,https://kotenseki.nijl.ac.jp/biblio/100452164/manifest
100452174,傷寒論詳解,,https://kotenseki.nijl.ac.jp/biblio/100452174/manifest
100452176,傷寒論正義,,https://kotenseki.nijl.ac.jp/biblio/100452176/manifest
100452187,傷寒論集註,,https://kotenseki.nijl.ac.jp/biblio/100452187/manifest
100383671,傷寒論辨真,,https://kotenseki.nijl.ac.jp/biblio/100383671/manifest
100347940,傷寒論便蒙編,,https://kotenseki.nijl.ac.jp/biblio/100347940/manifest
100348003,傷寒論択精録,,https://kotenseki.nijl.ac.jp/biblio/100348003/manifest
100210295,傷寒論国字解,,https://kotenseki.nijl.ac.jp/biblio/100210295/manifest
100382163,傷寒論繹解,,https://kotenseki.nijl.ac.jp/biblio/100382163/manifest
100382194,傷寒論夜話,,https://kotenseki.nijl.ac.jp/biblio/100382194/manifest
100382162,傷寒論彙攷,,https://kotenseki.nijl.ac.jp/biblio/100382162/manifest
